,Attained_Age,Observation_Year,Death_Claim_Amount,Amount_Exposed,qx
0,18,2012,0,960025088.6955566,0.0
1,18,2013,200000,1088841046.6725464,0.0001836815397538436
2,18,2014,100000,1113293634.5343018,8.982356217443988e-05
3,18,2015,100213,1366059646.8256836,7.335916863722987e-05
4,18,2016,250000,1649609150.0170898,0.00015155105074278352
5,18,2017,470103,1500061898.4064941,0.00031338906781072656
6,18,2018,0,1498613352.6047974,0.0
7,18,2019,900000,1561204249.0863953,0.0005764780620643795
8,19,2012,200000,1975383481.2323608,0.0001012461640487285
9,19,2013,870241,2443879024.298218,0.00035609004838113773
10,19,2014,650001,2413851473.659607,0.0002692796168666262
11,19,2015,500000,2908280435.764679,0.00017192289775471193
12,19,2016,400001,3316720273.511566,0.00012060136731895702
13,19,2017,11901366,3293602226.586426,0.003613480068701217
14,19,2018,450000,3187194048.2042236,0.00014119002269521232
15,19,2019,1400000,3363085554.7482605,0.00041628438444670944
16,20,2012,1800940,3360016451.029175,0.0005359914233301956
17,20,2013,352972,4335515574.762207,8.141407726792901e-05
18,20,2014,1101614,4397646919.180023,0.0002505007837703816
19,20,2015,1979500,5231543008.9539795,0.00037837785078169336
20,20,2016,2860303,5998343432.983856,0.0004768488220050368
21,20,2017,2943616,6138148565.313232,0.00047956089180285034
22,20,2018,2950282,6055457350.640167,0.00048721043336026534
23,20,2019,5250000,5955115542.574402,0.0008815949854317051
24,21,2012,2832024,5095797173.373688,0.0005557568136341364
25,21,2013,2545115,6883110098.37793,0.00036976235504351156
26,21,2014,4788754,7019624073.463867,0.0006821952215507982
27,21,2015,1705000,8013982916.273682,0.00021275313633845204
28,21,2016,2921376,8956361571.747131,0.0003261788815243334
29,21,2017,1908650,9457537617.06134,0.00020181257292139202
30,21,2018,3454289,9334830106.253174,0.0003700430495983056
31,21,2019,4712639,9352703176.30783,0.0005038798849019402
32,22,2012,2375000,7872694961.5177,0.0003016756030316392
33,22,2013,7305983,10340527943.602264,0.0007065386835031231
34,22,2014,2700523,10433403547.052979,0.00025883432839735125
35,22,2015,2362147,11837673773.25415,0.00019954486373302473
36,22,2016,2911029,13030368630.54779,0.00022340342645222784
37,22,2017,3116010,13579078528.41919,0.0002294713881710463
38,22,2018,3647770,13891149092.35382,0.00026259670641702793
39,22,2019,6930147,13974038238.804596,0.0004959301585962196
40,23,2012,2026407,11799859165.149353,0.00017173145642152682
41,23,2013,3887293,15487244469.162354,0.0002509996537951111
42,23,2014,6709479,15609725617.70102,0.0004298268377242728
43,23,2015,4230323,17051863478.588135,0.00024808567141720183
44,23,2016,4485486,18671998599.34912,0.00024022527508953207
45,23,2017,3385290,19518889519.644714,0.00017343660850136414
46,23,2018,5833276,19746976927.369843,0.0002954009629653703
47,23,2019,4949158,20500319733.19455,0.0002414185761203626
48,24,2012,7421620,17108038407.63446,0.0004338089395852714
49,24,2013,4687146,21950620607.16736,0.00021353136587261428
50,24,2014,3331775,22498852433.498688,0.00014808644173510373
51,24,2015,4160967,24377366381.293274,0.00017068976750470662
52,24,2016,5578313,25883715162.691498,0.00021551438674617
53,24,2017,7293366,26993212095.740295,0.00027019259412817124
54,24,2018,6470920,27571238554.043823,0.00023469819780914128
55,24,2019,4486645,27871824559.319336,0.00016097421216365354
56,25,2012,4100584,24442339321.30374,0.00016776561138834878
57,25,2013,6473345,30563515928.696594,0.0002117997489262048
58,25,2014,5690532,31258814849.60739,0.0001820456734325445
59,25,2015,7125733,34171382606.11389,0.00020852925625330346
60,25,2016,10640580,35627661640.08966,0.0002986606336248236
61,25,2017,20886203,36326444832.26599,0.0005749586312792269
62,25,2018,7888104,36928067653.019775,0.00021360727764359352
63,25,2019,6527018,37783976394.082,0.00017274566159802886
64,26,2012,8274585,34301299703.415558,0.00024123240435627158
65,26,2013,6799041,41335076581.9718,0.000164485990161813
66,26,2014,7821220,41551973111.39911,0.00018822740328194848
67,26,2015,10125521,44694794111.608,0.00022654810702820151
68,26,2016,10032255,47561342430.554596,0.00021093296545715305
69,26,2017,15767229,48245851477.47101,0.00032681004722991987
70,26,2018,8594965,48271178369.33246,0.00017805583560107443
71,26,2019,13948277,49585678798.47348,0.0002812964819275481
72,27,2012,7467557,46525387630.99869,0.00016050499265533375
73,27,2013,10889412,55479121703.649536,0.00019627945911197925
74,27,2014,9114797,54844188240.262634,0.00016619440076439266
75,27,2015,9767975,57955368458.01199,0.00016854305752670327
76,27,2016,15254858,60957984528.397156,0.000250252007477274
77,27,2017,9275324,63037723483.32684,0.00014713926023126892
78,27,2018,15363265,63129022662.56662,0.0002433629470571528
79,27,2019,14031299,63338447660.306885,0.00022152893729337754
80,28,2012,9017501,60917805215.98639,0.00014802734550314325
81,28,2013,13848516,72055020586.26447,0.0001921936304691013
82,28,2014,11845340,72024695571.96497,0.00016446220155369464
83,28,2015,23018658,74478559737.01321,0.0003090642203780498
84,28,2016,16831002,76888746520.96841,0.00021890072034676751
85,28,2017,15368313,78980112129.28601,0.00019458459333209017
86,28,2018,11990851,81274831681.05664,0.0001475346149845648
87,28,2019,14495478,81733703926.48401,0.0001773500686208723
88,29,2012,9511223,80274408475.9443,0.00011848387525459265
89,29,2013,16839353,91563104796.92722,0.00018390980774785954
90,29,2014,10214844,92022609067.6492,0.00011100363381884438
91,29,2015,17991445,96457852199.52094,0.00018652131049720134
92,29,2016,17224713,97402527744.06387,0.00017684051326942845
93,29,2017,26623977,98267223753.21893,0.00027093445793138
94,29,2018,17150804,101127312403.12064,0.00016959616143690526
95,29,2019,18116183,104087733011.64963,0.00017404724337662743
96,30,2012,17145852,101399882860.30612,0.00016909143794200472
97,30,2013,32576458,116338639865.29114,0.0002800140867876776
98,30,2014,20673022,115073761449.72797,0.00017965018036741052
99,30,2015,25462202,120483985750.34143,0.0002113326666729055
100,30,2016,21091523,123732206889.67032,0.0001704610588478949
101,30,2017,38971657,122741848715.8151,0.00031750912510883963
102,30,2018,28507043,124597536416.35284,0.000228792990775848
103,30,2019,26511436,127870451731.66016,0.00020733043201907986
104,31,2012,17683760,124249533050.19818,0.0001423245590215262
105,31,2013,20572427,141798914892.0329,0.00014508169555221245
106,31,2014,24234633,142601197666.0578,0.0001699469106616653
107,31,2015,29156661,145889509275.60953,0.0001998544045063461
108,31,2016,31185352,150099485995.45953,0.00020776454891353424
109,31,2017,31749473,152348251671.40866,0.00020840063900751972
110,31,2018,45491500,152054377505.9084,0.00029917915384075237
111,31,2019,25424168,153785722372.7701,0.0001653220312505532
112,32,2012,17968736,147492948356.84473,0.00012182776329432649
113,32,2013,29162526,167553836142.98944,0.00017404869187902613
114,32,2014,26380488,170404831523.64218,0.0001548106809186331
115,32,2015,35537311,176807223395.3501,0.00020099467837089854
116,32,2016,43316502,177596256974.0823,0.0002439043634028922
117,32,2017,45584143,180742873538.85947,0.00025220437247391376
118,32,2018,36640215,185651799079.00592,0.00019735987036897715
119,32,2019,53939292,184815525479.41867,0.0002918547663140279
120,33,2012,31807378,169697053288.7195,0.0001874362423128438
121,33,2013,36243110,192441741025.30444,0.00018833289392884022
122,33,2014,54955589,197285506712.00696,0.0002785586732441677
123,33,2015,36055555,206066161744.61752,0.00017497077004173284
124,33,2016,44093745,210205066773.22168,0.00020976537662420022
125,33,2017,38123437,209389884738.90582,0.000182069143633835
126,33,2018,57621811,215491246680.0838,0.0002673974552922086
127,33,2019,41612827,220288708604.58344,0.0001889013162027052
128,34,2012,40715460,192796062446.04007,0.00021118408479631412
129,34,2013,38068514,215064777847.5404,0.00017700952420478076
130,34,2014,50378182,222273240619.065,0.0002266497841111645
131,34,2015,50548728,234175331630.68167,0.00021585846659425464
132,34,2016,46166440,240541400625.7685,0.00019192721036752092
133,34,2017,37046726,242864617833.3456,0.00015254064725649566
134,34,2018,58345178,245913855691.7817,0.00023725860357021704
135,34,2019,46014626,252218032163.04437,0.0001824398739668788
136,35,2012,53858797,214694556947.3719,0.0002508624241144708
137,35,2013,60608851,239058754160.76947,0.00025353119241657186
138,35,2014,54125665,244486972297.8036,0.00022138465903234652
