era,age,uw,rate,age_rate,uw_rate,orig_rate
old,10,s,0.1,1.1,1,0.1
old,20,s,0.11,1.1,1,0.11
old,30,s,0.121,1.1,1,0.121
old,40,s,0.1331,1.1,1,0.1331
old,50,s,0.14641,1.1,1,0.14641
old,60,s,0.161051,1.1,1,0.161051
old,70,s,0.1771561,1.1,1,0.1771561
old,80,s,0.19487171,1.1,1,0.19487171
old,90,s,0.214358881,1.1,1,0.214358881
old,100,s,0.235794769,1.1,1,0.235794769
old,110,s,0.259374246,1.1,1,0.259374246
old,120,s,0.285311671,1.1,1,0.285311671
new,10,s,0.08,1.05,0.8,0.1
new,20,s,0.084,1.05,0.8,0.105
new,30,s,0.0882,1.05,0.8,0.11025
new,40,s,0.09261,1.05,0.8,0.1157625
new,50,s,0.0972405,1.05,0.8,0.121550625
new,60,s,0.102102525,1.05,0.8,0.127628156
new,70,s,0.107207651,1.05,0.8,0.134009564
new,80,s,0.112568034,1.05,0.8,0.140710042
new,90,s,0.118196436,1.05,0.8,0.147745544
new,100,s,0.124106257,1.05,0.8,0.155132822
new,110,s,0.13031157,1.05,0.8,0.162889463
new,120,s,0.136827149,1.05,0.8,0.171033936
old,10,ns,0.05,1.1,0.5,0.1
old,20,ns,0.055,1.1,0.5,0.11
old,30,ns,0.0605,1.1,0.5,0.121
old,40,ns,0.06655,1.1,0.5,0.1331
old,50,ns,0.073205,1.1,0.5,0.14641
old,60,ns,0.0805255,1.1,0.5,0.161051
old,70,ns,0.08857805,1.1,0.5,0.1771561
old,80,ns,0.097435855,1.1,0.5,0.19487171
old,90,ns,0.107179441,1.1,0.5,0.214358881
old,100,ns,0.117897385,1.1,0.5,0.235794769
old,110,ns,0.129687123,1.1,0.5,0.259374246
old,120,ns,0.142655835,1.1,0.5,0.285311671
new,10,ns,0.03,1.05,0.3,0.1
new,20,ns,0.0315,1.05,0.3,0.105
new,30,ns,0.033075,1.05,0.3,0.11025
new,40,ns,0.03472875,1.05,0.3,0.1157625
new,50,ns,0.036465188,1.05,0.3,0.121550625
new,60,ns,0.038288447,1.05,0.3,0.127628156
new,70,ns,0.040202869,1.05,0.3,0.134009564
new,80,ns,0.042213013,1.05,0.3,0.140710042
new,90,ns,0.044323663,1.05,0.3,0.147745544
new,100,ns,0.046539846,1.05,0.3,0.155132822
new,110,ns,0.048866839,1.05,0.3,0.162889463
new,120,ns,0.051310181,1.05,0.3,0.171033936
